Name,Identifier,Weight,Sector,Shares Held
Zions Bancorporation N.A.,ZION,0.041035,Financials,2215555
EQT Corporation,EQT,0.040876,Energy,2944498
Norwegian Cruise Line Holdings Ltd.,NCLH,0.04062,Consumer Discretionary,2276150
J.B. Hunt Transport Services Inc.,JBHT,0.040558,Industrials,961337
PVH Corp.,PVH,0.040515,Consumer Discretionary,854513
PerkinElmer Inc.,PKI,0.040389,Health Care,1220681
United Rentals Inc.,URI,0.040285,Industrials,921157
Iron Mountain Inc.,IRM,0.039888,Real Estate,3105297
Interpublic Group of Companies Inc.,IPG,0.039829,Communication Services,4345984
Perrigo Co. Plc,PRGO,0.039795,Health Care,1455342
Federal Realty Investment Trust,FRT,0.039292,Real Estate,811838
Franklin Resources Inc.,BEN,0.039262,Financials,3406623
Jacobs Engineering Group Inc.,JEC,0.039127,Industrials,1324009
Nielsen Holdings Plc,NLSN,0.039008,Industrials,3973681
Qorvo Inc.,QRVO,0.038726,Information Technology,1388913
Invesco Ltd.,IVZ,0.038531,Financials,4553835
Torchmark Corporation,TMK,0.037713,Financials,1155738
Arconic Inc.,ARNC,0.037557,Industrials,4792429
Michael Kors Holdings Ltd,KORS,0.037147,Consumer Discretionary,1661940
Snap-on Incorporated,SNA,0.037076,Industrials,629394
LKQ Corporation,LKQ,0.037063,Consumer Discretionary,3547018
Packaging Corporation of America,PKG,0.036574,Materials,1045900
Everest Re Group Ltd.,RE,0.036541,Financials,448192
SL Green Realty Corp.,SLG,0.036423,Real Estate,997981
DaVita Inc.,DVA,0.036263,Health Care,1412855
Western Union Company,WU,0.03588,Information Technology,5094295
DENTSPLY SIRONA Inc.,XRAY,0.035169,Health Care,2544146
BorgWarner Inc.,BWA,0.034522,Consumer Discretionary,2329863
Unum Group,UNM,0.034481,Financials,2516569
Cimarex Energy Co.,XEC,0.034427,Energy,1058095
Brown-Forman Corporation Class B,BF.B,0.034411,Consumer Staples,1869415
Alaska Air Group Inc.,ALK,0.033849,Industrials,1366479
Allegion PLC,ALLE,0.033817,Industrials,1037956
Avery Dennison Corporation,AVY,0.033765,Materials,965785
Robert Half International Inc.,RHI,0.033218,Industrials,1415989
FLIR Systems Inc.,FLIR,0.03308,Information Technology,1520878
Garmin Ltd.,GRMN,0.032917,Consumer Discretionary,1348304
Campbell Soup Company,CPB,0.031591,Consumer Staples,2119157
